Indicator,ParentLocationCode,ParentLocation,Location,Period,FactValueNumeric
Current health expenditure (CHE) per capita in US$,EUR,Europe,Bosnia and Herzegovina,2020,591.4
Current health expenditure (CHE) per capita in US$,EUR,Europe,Germany,2020,5930
Current health expenditure (CHE) per capita in US$,EUR,Europe,Sweden,2020,6028
Current health expenditure (CHE) per capita in US$,AMR,Americas,Saint Lucia,2020,607.8
Current health expenditure (CHE) per capita in US$,EUR,Europe,Ireland,2020,6092
Current health expenditure (CHE) per capita in US$,AFR,Africa,Guinea-Bissau,2020,61.43
Current health expenditure (CHE) per capita in US$,EMR,Eastern Mediterranean,Djibouti,2020,62.81
Current health expenditure (CHE) per capita in US$,EUR,Europe,Kyrgyzstan,2020,63.69
Current health expenditure (CHE) per capita in US$,WPR,Western Pacific,Papua New Guinea,2020,63.93
Current health expenditure (CHE) per capita in US$,EUR,Europe,Denmark,2020,6438
Current health expenditure (CHE) per capita in US$,WPR,Western Pacific,Brunei Darussalam,2020,650.5
Current health expenditure (CHE) per capita in US$,EUR,Europe,Serbia,2020,672.3
Current health expenditure (CHE) per capita in US$,EUR,Europe,Luxembourg,2020,6757
Current health expenditure (CHE) per capita in US$,WPR,Western Pacific,Lao People's Democratic Republic,2020,68.29
Current health expenditure (CHE) per capita in US$,EUR,Europe,Tajikistan,2020,69.69
Current health expenditure (CHE) per capita in US$,AFR,Africa,Nigeria,2020,69.76
Current health expenditure (CHE) per capita in US$,AMR,Americas,Brazil,2020,700.7
Current health expenditure (CHE) per capita in US$,AFR,Africa,Seychelles,2020,726.9
Current health expenditure (CHE) per capita in US$,WPR,Western Pacific,Marshall Islands,2020,731.1
Current health expenditure (CHE) per capita in US$,AFR,Africa,Senegal,2020,76.78
Current health expenditure (CHE) per capita in US$,EUR,Europe,Norway,2020,7704
Current health expenditure (CHE) per capita in US$,EUR,Europe,Russian Federation,2020,773.9
Current health expenditure (CHE) per capita in US$,EMR,Eastern Mediterranean,Afghanistan,2020,80.29
Current health expenditure (CHE) per capita in US$,AFR,Africa,Congo,2020,80.81
Current health expenditure (CHE) per capita in US$,AFR,Africa,Comoros,2020,80.82
Current health expenditure (CHE) per capita in US$,EUR,Europe,Romania,2020,809.6
Current health expenditure (CHE) per capita in US$,SEAR,South-East Asia,Maldives,2020,825.6
Current health expenditure (CHE) per capita in US$,AFR,Africa,Kenya,2020,83.4
Current health expenditure (CHE) per capita in US$,AMR,Americas,Antigua and Barbuda,2020,830.3
Current health expenditure (CHE) per capita in US$,AFR,Africa,Ghana,2020,84.98
Current health expenditure (CHE) per capita in US$,EMR,Eastern Mediterranean,Oman,2020,844.6
Current health expenditure (CHE) per capita in US$,AFR,Africa,Côte d’Ivoire,2020,85.17
Current health expenditure (CHE) per capita in US$,EUR,Europe,Bulgaria,2020,856.7
Current health expenditure (CHE) per capita in US$,AMR,Americas,Argentina,2020,863.7
Current health expenditure (CHE) per capita in US$,EUR,Europe,Montenegro,2020,866.2
Current health expenditure (CHE) per capita in US$,AMR,Americas,Costa Rica,2020,953.1
Current health expenditure (CHE) per capita in US$,WPR,Western Pacific,Solomon Islands,2020,99.13
Current health expenditure (CHE) per capita in US$,EMR,Eastern Mediterranean,Lebanon,2020,994.5
