"Country","Year","Total density per 100 000 population: Health posts","Total density per 100 000 population: Health centres","Total density per 100 000 population: District/rural hospitals","Total density per 100 000 population: Provincial hospitals","Total density per 100 000 population: Specialized hospitals","Total density per 100 000 population: Hospitals"
"Hungary"," 2010","5.78","0.11","0.74","0.17","0.11",""
"Iceland"," 2013","17.30","1.82","2.12","0.91","0.61","3.64"
"Iceland"," 2010","17.80","1.87","2.19","0.94","0.62",""
"Indonesia"," 2013","9.27","3.42","0.43","","","0.43"
"Indonesia"," 2010","9.66","3.56","0.45","","",""
"Iraq"," 2013","6.90","","","0.77","0.18","0.95"
"Iraq"," 2010","7.36","","","0.82","0.19",""
"Israel"," 2013","","0.01","","0.48","0.08","0.56"
"Israel"," 2010","","0.01","","0.50","0.08",""
"Italy"," 2013","","","0.11","1.83","0.14","2.08"
"Italy"," 2010","","","0.11","1.84","0.14",""
"Jamaica"," 2013","","","0.40","0.29","0.07","0.75"
"Jamaica"," 2010","","","0.40","0.29","0.07",""
"Jordan"," 2013","19.25","","1.42","0.41","0.11","1.94"
"Jordan"," 2010","22.63","","1.66","0.48","0.13",""
"Kazakhstan"," 2013","22.41","","1.99","1.36","0.16","3.52"
"Kazakhstan"," 2010","22.99","","2.04","1.4","0.17",""
"Kenya"," 2013","7.55","5.99","1.41","0.04","0.02","1.47"
"Kenya"," 2010","8.27","6.55","1.55","0.04","0.02",""
"Kiribati"," 2013","83.05","140.69","0.00","0.00","0.00","0.00"
"Kiribati"," 2010","85.39","144.66","0.00","0.00","0.00",""
"Kyrgyzstan"," 2013","17.09","","1.78","0.14","0.70","2.63"
"Kyrgyzstan"," 2010","17.77","","1.86","0.15","0.73",""
"Lao People's Democratic Republic"," 2013","","12.95","1.91","0.24","0.10","2.25"
"Lao People's Democratic Republic"," 2010","","10.77","2.03","0.26","0.11",""
"Latvia"," 2013","","1.51","0.49","0.34","0.73","1.56"
"Latvia"," 2010","","1.38","0.44","0.31","0.67",""
"Lebanon"," 2013","2.45","0.06","0.77","1.66","0.66","3.09"
"Lebanon"," 2010","2.79","0.07","0.88","1.89","0.76",""
"Liberia"," 2013","9.32","1.05","0.35","","0.02","0.37"
"Liberia"," 2010","10.01","1.13","0.38","","0.03",""
"Libya"," 2013","29.25","1.68","1.60","0.55","0.50","2.64"
"Libya"," 2010","28.54","1.64","1.56","0.54","0.49",""
"Lithuania"," 2013","21.01","33.15","1.66","0.00","0.50","2.15"
"Lithuania"," 2010","26.36","5.24","0.27","1.17","1.32",""
"Luxembourg"," 2013","","","0.19","0.19","0.75","1.13"
"Luxembourg"," 2010","","","0.20","0.20","0.79",""
"Madagascar"," 2013","12.96","0.27","0.33","0.11","0.03","0.47"
"Madagascar"," 2010","14.35","0.30","0.37","0.12","0.03",""
"Malawi"," 2013","0.45","2.30","0.23","0.14","0.03","0.40"
"Malawi"," 2010","0.49","2.53","0.25","0.15","0.03",""
